"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
screening_id,eligibility_screening,,text,"Screening ID",,,,,,,,,,,,,
user_dag,eligibility_screening,,text,"***** The user DAG when first created this record - HIDDEN Field - DAG name is the same as Screening DAG *****",,,,,,,,,RH,,,," @HIDDEN
@DEFAULT='[user-dag-name]'"
today,eligibility_screening,,text,"Date created",,,,,,,,,,,,," @HIDDEN @TODAY"
screen_hospital,eligibility_screening,,radio,"Name of Hospital","1, Royal Brisbane and Women's Hospital | 2, Surgical, Treatment and Rehabilitation Service | 3, Brighton Rehabilitation Unit | 4, Caboolture Hospital | 5, Redcliffe Hospital | 6, St Vincent's Hospital Melbourne - Acute Fitzroy | 7, St Vincent's Hospital Melbourne - Rehab Fitzroy | 8, St Vincent's Hospital Melbourne - Rehab SGHS | 9, Monash Medical Centre | 10, Kingston Centre | 11, Sir Charles Gairdner Hospital | 12, Osborne Park Hospital | 13, Fiona Stanley Hospital | 14, Fremantle Hospital | 15, Casey Hospital | 16, St Vincent's Hospital Melbourne - Rehab@Home",,,,,,,,,,,,
date_screen,eligibility_screening,,text,"Screen date",,,date_dmy,,,,,,,,,,
date_admit,eligibility_screening,,text,"Admission date",,,date_dmy,,,,,,,,,,
screen_name,eligibility_screening,,text,"Screened by (initials)",,,,,,,,,,,,,
screen_dob,eligibility_screening,,text,"Date of birth",,,date_dmy,,,y,,,,,,," @HIDEBUTTON"
eligiblity,eligibility_screening,"Eligiblity criteria",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50%;"">Inclusion criteria</td> <td style=""width: 50%;"">Exclusion criteria</td> </tr> <tr> <td style=""width: 50%; text-align: left; vertical-align: top;""> <ul> <li><span style=""font-weight: normal;"">Aphasia as a result of a new stroke</span></li> <li><span style=""font-weight: normal;"">Aged 18 years or older at the time of recruitment</span></li> <li><span style=""font-weight: normal;"">Can demonstrate capacity to consent (by self or via proxy)</span></li> </ul> </td> <td style=""width: 50%; text-align: left; vertical-align: top;""> <ul> <li><span style=""font-weight: normal;"">Presenting with aphasia resulting from a previous stroke</span></li> <li><span style=""font-weight: normal;"">Presenting with a language impairment with an aetiology other than stroke</span></li> </ul> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
screen_eligible,eligibility_screening,,radio,Eligible?,"1, Yes | 2, No",,,,,,,,,,,,
screen_noteligible,eligibility_screening,,checkbox,"If no, reason","1, Patient does not have aphasia | 2, Aphasia from previous stroke | 3, Aphasia non-stroke aetiology | 4, Under 18 years old | 5, Unable to consent (by self or no proxy)","Select all that apply",,,,,[screen_eligible]='2',,,,,,
screen_proceeding,eligibility_screening,,radio,"Proceed to consent?","1, Yes | 2, No",,,,,,,,,,,,
screen_notproceeding,eligibility_screening,,text,"If no, reason",,,,,,,[screen_proceeding]='2',,,,,,
screen_noteligiblenote,eligibility_screening,,descriptive,"<div class=""red"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please press Save & Exit Record. No further information required for this patient.</h6> </div>",,,,,,,"[screen_eligible]='2' or [screen_proceeding]='2'",,,,,,
picf_instruct,patient_information,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please download and open the Patient Information and Consent Form (PICF) below and view with the patient. Once you reach the Consent Form, return to REDCap and click Next Page to document patient consent<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,,,,,,,
picf,patient_information,,descriptive,,,,,,,,,,,,,,
picf_instruct_svh,patient_information_st_vincents_hospital,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please download and open the Patient Information and Consent Form (PICF) below and view with the patient. Once you reach the Consent Form, return to REDCap and click Next Page to document patient consent<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,,,,,,,
picf_svh,patient_information_st_vincents_hospital,,descriptive,,,,,,,,,,,,,,
picf_instruct_mnh,patient_information_metro_north_health,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please download and open the Patient Information and Consent Form (PICF) below and view with the patient. Once you reach the Consent Form, return to REDCap and click Next Page to document patient consent<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,,,,,,,
picf_mnh,patient_information_metro_north_health,,descriptive,,,,,,,,,,,,,,
picf_instruct_mon,patient_information_monash_health,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please download and open the Patient Information and Consent Form (PICF) below and view with the patient. Once you reach the Consent Form, return to REDCap and click Next Page to document patient consent<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,,,,,,,
picf_mon,patient_information_monash_health,,descriptive,,,,,,,,,,,,,,
continue_fh,patient_information_fremantle_hospital,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please continue to the next page to view the Patient Information and Consent Form for the selected admission hospital site<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,[screen_hospital]='13',,,,,,
picf_instruct_fh,patient_information_fremantle_hospital,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please download and open the Patient Information and Consent Form (PICF) below and view with the patient. Once you reach the Consent Form, return to REDCap and click Next Page to document patient consent<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,[screen_hospital]='14',,,,,,
picf_fh,patient_information_fremantle_hospital,,descriptive,,,,,,,,[screen_hospital]='14',,,,,,
continue_fsh,patient_information_fiona_stanley_hospital,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please continue to the next page to view the Patient Information and Consent Form for the selected admission hospital site<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,[screen_hospital]='14',,,,,,
picf_instruct_fsh,patient_information_fiona_stanley_hospital,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please download and open the Patient Information and Consent Form (PICF) below and view with the patient. Once you reach the Consent Form, return to REDCap and click Next Page to document patient consent<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,[screen_hospital]='13',,,,,,
picf_fsh,patient_information_fiona_stanley_hospital,,descriptive,,,,,,,,[screen_hospital]='13',,,,,,
continue_scgh,patient_information_sir,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please continue to the next page to view the Patient Information and Consent Form for the selected admission hospital site<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,[screen_hospital]='12',,,,,,
picf_instruct_scgh,patient_information_sir,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please download and open the Patient Information and Consent Form (PICF) below and view with the patient. Once you reach the Consent Form, return to REDCap and click Next Page to document patient consent<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,[screen_hospital]='11',,,,,,
picf_scgh,patient_information_sir,,descriptive,,,,,,,,[screen_hospital]='11',,,,,,
continue_oph,patient_information_osborne_park_hospital,,descriptive,"<div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">Please continue to the next page to view the Patient Information and Consent Form for the selected admission hospital site<span style=""font-weight: normal;""> </span></h6> </div> <p>",,,,,,,[screen_hospital]='11',,,,,,
