"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
participant_id,admission_details,,text,"Participant ID",,,,,,,,,,,,,
user_dag,admission_details,,text,"DAG name",,,,,,,,,,,,," @SETVALUE='[user-dag-name]'"
data_entry_id,admission_details,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
today,admission_details,,text,"Date created",,,date_dmy,,,,,,,,,," @HIDDEN @TODAY"
screening_id,admission_details,,sql,"Screening ID","SELECT record, CONCAT_WS(' ', record, if(T2.group_name IS NULL, '?', T2.group_name), pt_initials, date_screen, [user-dag-name]) AS ListVal
FROM (SELECT si.project_id, si.record, si.value AS pt_initials, 
		dt.value AS date_screen, co.value AS gained_consent, gi.value AS group_id
	FROM [data-table] si
		LEFT JOIN [data-table] dt 
			ON (si.project_id = dt.project_id AND si.record = dt.record AND dt.field_name = 'date_screen')
		LEFT JOIN [data-table] co 
			ON (si.project_id = co.project_id AND si.record = co.record AND co.field_name = 'gained_consent')
		LEFT JOIN [data-table] gi 
			ON (si.project_id = gi.project_id AND si.record = gi.record AND gi.field_name = '__GROUPID__')
	WHERE si.project_id=3092 AND si.field_name = 'pt_initials' AND co.value = '1') AS T1
    LEFT JOIN redcap_data_access_groups AS T2 
		ON T1.project_id = T2.project_id AND T1.group_id = T2.group_id
WHERE ((T2.group_name = [user-dag-label] OR T2.group_name = '' OR T2.group_name IS NULL) AND
        record NOT IN
        	(SELECT distinct value FROM [data-table] 
            WHERE project_id=[project-id] AND field_name = 'screening_id' AND record <> [record-name]))
        
        OR record IN 
            (SELECT value FROM [data-table] WHERE project_id=[project-id] AND field_name = 'screening_id' AND record = [record-name])",,,,,,"([inpatient_rehabsub_arm_1][screening_id]='' and [event-name]='inpatient_acute_arm_1') or
([inpatient_acute_arm_1][screening_id]='' and [event-name]='inpatient_rehabsub_arm_1')",,,,,,
onsetdate_unknown,admission_details,,radio,"Is the stroke onset date known?","TRUE, Known | FALSE, Unknown",,,,,,,,,,,,
onsetdate,admission_details,,text,"Date of stroke onset",,"DD-MM-YYYY <br> Only enter if not previously collected",date_dmy,,,,[onsetdate_unknown]='TRUE',,,,,," @HIDEBUTTON"
onsetdate_history,admission_details,,descriptive,"<div class=""rich-text-field-label""><p><em>Stroke onset date recorded:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][onsetdate]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][onsetdate]</span></em></p></div>",,,,,,,,,,,,,
admhospital,admission_details,,radio,"Hospital site of admission","1, Royal Brisbane and Women's Hospital | 2, Surgical, Treatment and Rehabilitation Service | 3, Brighton Rehabilitation Unit | 4, Caboolture Hospital | 5, Redcliffe Hospital | 6, St Vincent's Hospital Melbourne - Acute Fitzroy | 7, St Vincent's Hospital Melbourne - Rehab Fitzroy | 8, St Vincent's Hospital Melbourne - Rehab SGHS | 9, Monash Medical Centre | 10, Kingston Centre | 11, Sir Charles Gairdner Hospital | 12, Osborne Park Hospital | 13, Fiona Stanley Hospital | 14, Fremantle Hospital | 15, STARS Day Hospital | 16, Casey Hospital | 17, St Vincent's Hospital Melbourne - Rehab@Home",,,,,,,,,,,,
admdate_unknown,admission_details,,radio,"Is the date of admission to [event-label] known?","TRUE, Known | FALSE, Unknown","Date of admission to inpatient acute means when they were first admitted to the hospital. In most instances this is the admission to the Emergency Department, unless they were admitted directly to the ward.",,,,,,,,,,,
